"","17","18","19","20","21","0"
"A",0.131,0.1297,0.1305,0.1303,0.3645,0.114
"2",0.1355,0.1322,0.1353,0.1215,0.1193,0.3562
"3",0.1333,0.1256,0.13,0.1184,0.1166,0.3761
"4",0.1346,0.127,0.1184,0.1178,0.1162,0.386
"5",0.1266,0.1261,0.1196,0.1064,0.1103,0.411
"6",0.168,0.1107,0.1029,0.102,0.0944,0.422
"7",0.3811,0.1318,0.078,0.0833,0.0763,0.2495
"8",0.122,0.358,0.1315,0.07,0.0717,0.2468
"9",0.1185,0.1155,0.3568,0.1188,0.0643,0.2261
"10",0.118,0.11,0.109,0.3462,0.1109,0.2059
"J",0.1082,0.1084,0.1117,0.3498,0.1085,0.2134
"Q",0.1102,0.112,0.1117,0.3446,0.1098,0.2117
"K",0.1126,0.1112,0.1156,0.3427,0.1092,0.2087
